Name,Ra_1,Dec_1,a26_1,b/a,AB,Kmag,f_Kmag,W50,TType,Tdw1,Tdw2,RVel,Dis,f_Dis,A26_1a,inc,Vm,AB_int,SBB,logKLum,logM26,l_logMHI,logMHI,VLG,Theta1,MD,Theta5,Thetaj,l_mag_B,mag_B,e_mag_B,l_mag_FUV,mag_FUV,e_mag_FUV,l_mag_HI,mag_HI,e_mag_HI,l_mag_Ha,mag_Ha,e_mag_Ha,cz,e_cz,e_W50,r_W50,DM,e_DM,BMag,l_SFRHa,logSFRHa,l_PHa,PHa,l_FHa,FHa,l_SFRFUV,logSFRFUV,l_PFUV,PFUV,l_FFUV,FFUV,KLum,M26,MHI,SFRHa,SFRFUV,SFR_UNGC,logSFR_UNGC,SFR_UNGC_Gyr,logSFR_UNGC_Gyr,StellarMass,logStellarMass,PGC,OBJNAME,ID_NED,ID_NEDD,ID_IRAS,ID_2MASS,SDSS_PHOTID,SDSS_SPECID,RA_2,DEC_2,F_ASTROM,R1,R2,PA,RSOURCE,RFLAG,T,E_T,INCL,V,E_V,V_VIR,E_V_VIR,NDIST,EDIST,D,E_D,D_LO68,D_HI68,D_LO95,D_HI95,DMETHOD,UT,BT,VT,IT,E_UT,E_BT,E_VT,E_IT,AG,AI,S12,S25,S60,S100,Q12,Q25,Q60,Q100,WF1,WF2,WF3,WF4,E_WF1,E_WF2,E_WF3,E_WF4,WFPOINT,WFTREAT,J,H,K,E_J,E_H,E_K,FLAG_2MASS,U,G,R,I,Z,E_U,E_G,E_R,E_I,E_Z,logL_TIR,logL_FIR,logL_60u,logL_12u,logL_22u,logL_K,ML_RATIO,logSFR_TIR,logSFR_FIR,logSFR_60u,logSFR_12u,logSFR_22u,logSFR_HEC,FLAG_SFR_HEC,logM_HEC,logSFR_GSW,logM_GSW,MIN_SNR,METAL,FLAG_METAL,CLASS_SP,AGN_S17,AGN_HEC,Separation,merge_D,merge_V,merge_T,merge_logKLum,merge_Kmag,merge_Bmag,logSFR_total,SFR_total,logM_total,M_total,sSFR,logsSFR,M_ratio,logM_ratio,ID,gr,bv,bu,MB,MR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4580552,SDSSJ125713.68+570144.7,2MASS J12571367+5701448,,,12571367+5701448,1237661387063034076,-,194.306916,57.029219,0,0.061,0.061,0.0,H,2,,,12.66,0.0,,266.5,,0,0,4.2993,1.9617,2.7242,6.7851,1.7262,10.7082,Z,21.449,18.964,,,0.154,0.5,,,0.047,,,,,,0,0,0,0,14.193319,14.1238,14.233038,,0.005799,0.019847,1.353393,,0,0,15.136,14.56,14.489,0.045,0.061,0.106,3,21.365,18.74,17.354,16.717,16.288,0.11,0.008,0.005,0.005,0.008,,,,,,6.7872,1.159,,,,,,,,6.8512,,,,,-1,-1,?,?,,4.2993,0.0,,6.787199974060059,14.48900032043457,18.964000701904297,,,6.851200103759766,7099047.854626584,,,,,3214,1.3859997,,-2.4849987,-9.202988051709097,-13.84299788548202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4580553,SDSSJ155926.29+220151.9,2MASS J15592628+2201518,,,15592628+2201518,1237665128565506336,-,239.859548,22.031072,0,0.046,0.046,0.0,H,2,,,23.92,10.0,,245.2,,0,0,4.1743,1.9371,2.6244,6.6393,1.65,10.56,Z,21.638,19.216,,,0.175,0.5,,,0.268,,,,,,0,0,0,0,14.078137,14.075361,,,0.005946,0.021404,,,0,0,15.082,14.509,14.269,0.043,0.058,0.077,3,21.607,18.972,17.525,16.775,16.35,0.144,0.009,0.006,0.005,0.009,,,,,,6.8496,1.191,,,,,,,,6.9256,,,,,-1,-1,?,?,,4.1743,10.0,,6.849599838256836,14.269000053405762,19.215999603271484,,,6.925600051879883,8425584.759900397,,,,,3215,1.4470005,,-2.422001,-8.88691868609521,-13.69329046739639
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4580554,SDSSJ211643.78-075239.0,2MASS J21164378-0752394,,,21164378-0752394,1237652598490595551,-,319.182297,-7.877618,0,0.053,0.037,142.5,H,1,,,46.15,-20.0,,18.8,,0,0,2.0054,0.865,1.3028,3.087,0.8463,4.752,Z,22.829,20.273,,,0.665,0.5,,,0.788,,,,,,0,0,0,0,12.546699,12.301314,12.380177,9.884654,0.001939,0.005612,0.421807,1.03513,0,0,13.667,13.049,12.801,0.033,0.026,0.034,3,22.423,19.362,17.895,16.129,15.182,0.444,0.015,0.007,0.004,0.005,,,,,,6.8,1.202,,,,,,,,6.88,,,,,-1,-1,?,?,,2.0054,-20.0,,6.800000190734863,12.800999641418457,20.273000717163086,,,6.880000114440918,7585777.749219503,,,,,3216,1.466999,,-2.5559998,-6.238004335863824,-13.368658111413868
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4580555,SDSSJ121301.83+665333.0,2MASS J12130189+6653328,,,12130189+6653328,1237658609296212060,-,183.257859,66.892531,0,0.051,0.045,92.2,H,1,,,28.83,-1.0,,267.8,,0,0,4.3069,1.9648,2.7292,6.7965,1.7295,10.7253,Z,21.805,19.51,,,0.243,0.5,,,0.064,,,,,,0,0,0,0,13.368213,13.161746,13.665743,10.702311,0.002747,0.007978,0.886861,1.590284,0,0,14.306,13.735,13.563,0.031,0.039,0.045,3,21.558,19.248,17.729,16.403,15.707,0.15,0.011,0.006,0.004,0.006,,,,,,7.1591,1.231,,,,,,,,7.2494,,,,,-1,-1,?,?,,4.3069,-1.0,,7.15910005569458,13.562999725341797,19.510000228881836,,,7.2494001388549805,1.7758248903235864E7,,,,,3217,1.5189991,,-2.295,-8.660823712062147,-13.514421119738172
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4580556,SDSSJ083338.54+300302.9,2MASS J08333853+3003026,,,08333853+3003026,1237660765910990957,-,128.410392,30.050783,0,0.087,0.062,73.6,H,1,,,45.06,9.0,,61.2,,0,0,2.5886,1.1511,1.6594,4.0381,1.0637,6.2994,Z,18.6,17.197,,,0.021,0.5,,,0.181,,,,,,0,0,0,0,14.628722,14.635283,12.585724,10.175131,0.012407,0.047984,0.516879,1.45452,0,0,15.249,14.751,14.769,0.047,0.058,0.105,3,18.654,16.944,16.332,16.131,16.036,0.019,0.004,0.004,0.004,0.007,,,,,,6.2345,0.816,,,,,,,,6.1461,,,,,-1,-1,?,?,,2.5886,9.0,,6.234499931335449,14.769000053405762,17.19700050354004,,,6.146100044250488,1399909.7692058624,,,,,3218,0.6119995,,-1.4029999,-9.868324230647016,-14.733196221214374
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4580557,SDSSJ015118.48-101821.6,SDSS J015118.48-101821.6,,,,-,-,27.827004,-10.306177,0,,,," ",0,,,,-7.0,,-147.3,,0,0,1.0158,0.4177,0.6733,1.5326,0.4463,2.3122,Z,,,,,,,,,0.168,,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,,1.0158,-7.0,,,,,,,,,,,,,3219,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4580558,SDSSJ163542.99-000300.3,SDSS J163542.99-000300.3,,,,-,-,248.929112,-0.050126,0,0.02,0.02,0.0,H,2,,,16.86,14.0,,161.6,,0,0,3.5923,1.6381,2.2769,5.6679,1.4431,8.9426,Z,21.9,21.073,,,0.44,0.5,,,0.524,,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,,3.5923,14.0,,,,21.072999954223633,,,,,,,,,3220,,,-0.82699966,-6.703863037233912,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4580560,SDSSJ211149.81+094101.7,2MASS J21114980+0941020,,,21114980+0941020,1237678860601000859,-,317.957465,9.683773,0,0.048,0.048,0.0,H,2,,,34.7,10.0,,135.9,,0,0,3.3706,1.5372,2.1362,5.3183,1.3538,8.3914,Z,22.358,19.846,,,0.389,0.5,,,0.46,,,,,,0,0,0,0,13.763238,13.602999,13.200277,,0.005323,0.016263,0.826481,,0,0,14.901,14.199,14.066,0.042,0.046,0.072,3,25.205,19.572,17.998,16.809,16.182,1.447,0.014,0.007,0.005,0.008,,,,,,6.745,1.262,,,,,,,,6.8461,,,,,-1,-1,?,?,,3.3706,10.0,,6.744999885559082,14.065999984741211,19.84600067138672,,,6.846099853515625,7016165.9641775265,,,,,3221,1.5740013,,-2.5119991,-7.792535410855965,-13.278121948542857
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4580561,SDSSJ153230.56-022235.9,2MASS J15323054-0222361,,,15323054-0222361,1237655691408179233,-,233.127556,-2.376606,0,0.151,0.12,15.0,Y,1,,,,7.0,,129.6,,0,0,3.3137,1.5029,2.1054,5.2154,1.3377,8.2084,Z,19.03,17.936,,,0.028,0.5,,,0.795,,,,,,0,0,0,0,15.081782,14.923136,14.559568,9.754893,0.01671,0.053367,2.017518,0.844643,0,0,15.689,15.18,15.414,0.073,0.088,0.199,3,19.086,17.69,17.075,16.798,16.614,0.023,0.005,0.005,0.005,0.009,,,,,,6.191,0.817,,,,,,,,6.1032,,,,,-1,-1,?,?,,3.3137,7.0,,6.190999984741211,15.413999557495117,17.93600082397461,,,6.1031999588012695,1268235.6552462052,,,,,3222,0.6149998,,-1.0939999,-9.665565114905911,-14.086802895853403
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4580562,SDSSJ131913.59+512043.0,SDSS J131913.59+512043.0,,,,1237661958294208617,-,199.806673,51.345271,0,0.07,0.024,81.5,H,1,,,73.21,12.0,,275.4,,0,0,4.351,1.9759,2.7629,6.8519,1.7545,10.7902,Z,22.4,20.225,,,0.931,0.5,,,0.056,,,,,,0,0,0,0,15.122715,14.920028,,9.382983,0.013748,0.041474,,0.434439,1,1,,,,,,,0,24.094,21.467,19.853,18.371,17.592,0.671,0.04,0.018,0.01,0.015,,,,,,,1.285,,,,,,,,,,,,,-1,-1,?,?,,4.351,12.0,,,,20.225000381469727,,,,,,,,,3223,1.6139984,,-2.1749992,-7.967945034993857,-11.636130142154194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4580695,SDSSJ083608.30+235801.2,2MASS J08360829+2358020,,F08331+2408,08360829+2358020,1237664837001150710,-,129.034702,23.967094,0,0.078,0.052,174.7,H,1,,,48.57,-12.0,21.0,10.2,24.15,0,0,1.8896,0.8105,1.2305,2.9017,0.8013,4.4558,Z,20.189,18.67,,,0.057,0.5,,,0.143,,0.0797,0.2016,0.3023,0.5899,1,1,3,2,14.377207,14.184868,10.287047,8.202101,0.010786,0.035872,0.060526,0.220567,0,0,16.092,15.356,14.822,0.076,0.094,0.096,3,20.169,18.404,17.603,17.242,17.082,0.05,0.008,0.006,0.006,0.012,,,39.8097,38.4142,38.3608,5.9399,0.889,,,-3.255,-3.465,-3.638,-3.152,F3,5.8887,,,,,-1,-1,?,?,,1.8896,-12.0,,5.939899921417236,14.821999549865723,18.670000076293945,-3.1519999504089355,7.046931494343941E-4,5.888700008392334,773927.0182334698,9.105421219728111E-10,-9.04069995880127,,,3224,0.8009987,,-1.5189991,-7.711849325053251,-13.624932883058317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4580702,SDSSJ145233.74+105006.2,2MASS J14523372+1050062,,,14523372+1050062,1237662528459505799,-,223.140846,10.835087,0,0.079,0.079,0.0,H,2,,,25.49,37.2,25.8,207.6,28.99,0,0,3.9381,1.8253,2.4774,6.2601,1.5585,9.9511,Z,19.262,18.297,,,0.029,0.5,,,0.113,,,,,,0,0,0,0,14.304443,14.072249,12.726639,10.930229,0.006413,0.019432,0.360602,1.768322,0,0,15.862,15.416,14.818,0.091,0.11,0.15,3,19.301,18.047,17.397,17.097,16.93,0.027,0.006,0.005,0.005,0.011,,,,,,6.5794,0.83,,,,,,,,6.4984,,,,,-1,-1,?,?,,3.9381,37.2,,6.579400062561035,14.817999839782715,18.297000885009766,,,6.4984002113342285,3150650.366125888,,,,,3225,0.6500015,,-0.96499825,-9.679432814804166,-13.80537237821602
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4581014,SDSSJ113543.63+501200.6,2MASXi J1135436+501200,,,11354360+5012003,1237658205582196854,-,173.931871,50.200135,0,0.079,0.06,141.1,H,1,,,41.42,38.7,18.0,258.4,21.98,0,0,4.252,1.9579,2.6829,6.7385,1.6929,10.6793,Z,20.236,18.785,,,0.061,0.5,,,0.067,,,,,,0,0,0,0,13.382064,13.092661,10.16217,8.977635,0.00334,0.00916,0.040681,0.3598,0,0,14.677,14.07,13.698,0.042,0.049,0.048,3,20.234,18.511,17.438,16.474,15.886,0.055,0.008,0.005,0.005,0.007,,,,39.1686,,7.094,,,,,-2.794,,-2.806,W3,7.0088,,,,,-1,-1,?,?,,4.252,38.7,,7.093999862670898,13.697999954223633,18.78499984741211,-2.805999994277954,0.0015631476632362023,7.008800029754639,1.0204695018572027E7,1.5317926311284688E-10,-9.814800024032593,,,3226,1.073,,-1.4510002,-9.357966431844186,-13.769483607093854
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4581042,SDSSJ130005.19-020236.7,2MASS J13000521-0202366,,,13000521-0202366,1237650371025371201,-,195.021812,-2.043396,0,0.065,0.065,0.0,H,2,,,22.81,16.0,,69.4,,0,0,2.6911,1.2089,1.7172,4.2171,1.0958,6.6085,Z,22.182,20.596,,,0.427,0.5,,,0.097,,,,,,0,0,0,0,15.3463,,,8.565488,0.021058,,,0.304294,1,1,16.854,15.887,15.722,0.157,0.13,0.276,3,24.334,21.378,19.966,18.52,17.953,1.088,0.053,0.026,0.013,0.03,,,,,,5.887,,,,,,,,,5.8019,,,,,-1,-1,?,?,,2.6911,16.0,,5.88700008392334,15.722000122070312,20.59600067138672,,,5.8018999099731445,633723.64279696,,,,,3227,1.4120007,,-1.5859985,-6.55364850981643,-11.535455687466321
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4581061,SDSSJ143048.56+543906.4,SDSS J143048.56+543906.4,,,14304874+5439068,1237659148847415319,-,217.702428,54.651752,0,0.065,0.065,0.0,H,2,,,13.21,6.1,60.0,296.9,60.99,0,0,4.476,2.0108,2.8562,7.0144,1.8225,10.9924,Z,19.975,18.241,,,0.062,0.5,,,0.059,,,,,,0,0,0,0,12.528219,12.526178,10.130516,10.064797,0.001677,0.005823,0.036467,0.852876,0,0,13.161,12.402,12.213,0.045,0.06,0.075,2,19.108,16.917,15.894,15.487,15.208,0.052,0.005,0.004,0.004,0.007,,,,39.2258,,7.7326,0.983,,,,-2.743,,-2.755,W3,7.7251,,,,,-1,-1,?,?,,4.476,6.1,,7.732600212097168,12.213000297546387,18.240999221801758,-2.755000114440918,0.001757923150728387,7.725100040435791,5.310067484066468E7,3.310547664419066E-11,-10.480100154876709,,,3228,1.0229998,,-1.7340012,-10.013451167479804,-15.11216599729502
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4581174,SDSSJ172306.24+570506.1,2MASX J17230665+5705081,,,17230630+5705058,1237651213361807385,-,260.776176,57.085175,0,0.34,0.178,170.5,H,1,,,60.1,-70.0,,245.0,,0,0,4.1732,1.9367,2.6238,6.6377,1.6496,10.5574,Z,17.595,16.597,,,0.027,0.5,,,0.121,,,,,,0,0,0,0,12.971618,13.099383,10.308701,8.235144,0.003697,0.012554,0.064863,0.211124,0,0,16.038,15.378,14.309,0.144,0.213,,3,18.185,17.143,15.61,15.967,15.843,0.045,0.009,0.004,0.008,0.024,,,,39.0937,39.0358,6.8333,,,,,-2.861,-3.021,-2.873,W3,,,,,,-1,-1,?,?,,4.1732,-70.0,,6.8333001136779785,14.309000015258789,16.597000122070312,-2.872999906539917,0.0013396769757241132,6.747113966061695,5586167.65791768,2.3982040242299066E-10,-9.620113872601612,,,3229,1.533,,-0.9979992,-11.505345871479841,-15.357014810875976
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4581231,SDSSJ163204.88+210238.4,2MASS J16320489+2102387,,,16320489+2102387,1237662225165910363,-,248.020487,21.044058,0,0.075,0.057,131.1,H,1,,,42.14,8.7,8.7,245.9,13.94,0,0,4.1786,1.9392,2.6272,6.6462,1.6518,10.5711,Z,20.89,18.863,,,0.095,0.5,,,0.217,,,,,,0,0,0,0,14.061925,14.015318,11.920139,,0.005925,0.020057,0.196166,,0,0,15.279,14.731,14.423,0.043,0.057,0.071,3,20.835,18.586,17.401,16.797,16.382,0.08,0.008,0.006,0.006,0.01,,,,38.4503,,6.7889,1.058,,,,-3.433,,-3.445,W3,6.8133,,,,,-1,-1,?,?,,4.1786,8.7,,6.788899898529053,14.42300033569336,18.863000869750977,-3.444999933242798,3.5892198981638543E-4,6.813300132751465,6505791.380338228,5.5169612554918034E-11,-10.258300065994263,,,3230,1.1850014,,-2.0269985,-9.24215312989257,-13.801871849725163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4581287,SDSSJ215203.83+122328.4,SDSS J215203.82+122328.4,,,,1237652943698526454,-,328.015921,12.391132,0,0.012,0.012,0.0,H,2,,,,-51.0,,64.1,,0,0,2.6253,1.1674,1.6829,4.0954,1.0788,6.3886,Z,,21.683,,,,0.5,,,0.345,,,,,,0,0,0,0,17.83285,,12.597449,10.881228,0.199942,,0.389393,2.774311,0,0,,,,,,,0,24.574,21.625,20.098,18.84,18.635,3.769,0.198,0.078,0.04,0.147,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,,2.6253,-51.0,,,,21.683000564575195,,,,,,,,,3231,1.5270004,,,-5.412894128230093,-11.417764590530343
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4581310,SDSSJ075040.06+454601.3,2MASS J07504003+4546012,,,07504003+4546012,1237663546898579855,-,117.667046,45.767154,0,0.073,0.06,52.3,H,1,,,34.94,-15.0,20.4,100.6,23.36,0,0,3.0359,1.3798,1.9272,4.7826,1.2233,7.5343,Z,21.323,19.514,,,0.195,0.5,,,0.285,,,,,,0,0,0,0,15.169789,14.979265,11.729462,11.088651,0.019426,0.055189,0.192741,2.769349,0,0,16.614,15.878,15.594,0.151,0.183,,3,21.504,19.267,18.139,17.723,17.474,0.176,0.012,0.009,0.008,0.021,,,,38.2491,,6.043,,,,,-3.612,,-3.623,W3,,,,,,-1,-1,?,?,,3.0359,-15.0,,6.043000221252441,15.593999862670898,19.513999938964844,-3.622999906539917,2.3823199820334042E-4,5.956814073636158,905344.9295498867,2.6313948466225245E-10,-9.579813980176075,,,3232,1.1280003,,-1.809,-7.897437371850248,-13.15406675774218
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4581332,SDSSJ140137.71+080933.4,SDSS J140137.71+080933.4,,,14013778+0809312,1237662236403695711,-,210.407086,8.15948,0,0.136,0.117,8.2,H,1,,,31.08,-42.0,,93.8,,0,0,2.966,1.3476,1.883,4.6719,1.1955,7.3589,Z,20.204,18.198,,,0.176,0.5,,,0.106,,,,,,0,0,0,0,15.435649,15.805375,12.32444,9.246305,0.021178,0.111187,0.258714,0.394465,0,0,13.943,13.291,12.64,0.096,0.12,0.126,2,23.067,23.412,21.635,19.097,21.296,0.907,0.601,0.221,0.026,0.523,,,,,,7.2044,,,,,,,,,7.1192,,,,,-1,-1,?,?,,2.966,-42.0,,7.204400062561035,12.640000343322754,18.197999954223633,,,7.119200229644775,1.3158313508766105E7,,,,,3233,1.7770004,,-2.0060005,-9.162855779238184,-10.040784291764405
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4581425,SDSSJ204644.30-001411.2,2MASS J20464431-0014113,,,20464431-0014113,1237656568111694731,-,311.684483,-0.236607,0,0.059,0.059,0.0,H,2,,,24.27,1.0,,93.6,,0,0,2.9644,1.3468,1.882,4.6693,1.1948,7.3547,Z,20.141,19.056,,,0.053,0.5,,,0.364,,,,,,0,0,0,0,15.031007,14.74558,11.542261,,0.018985,0.053578,0.291196,,0,0,16.618,15.783,15.362,0.143,0.137,0.161,3,20.235,18.856,18.198,17.951,17.808,0.051,0.009,0.008,0.008,0.021,,,,38.3032,,6.1151,0.833,,,,-3.564,,-3.575,W3,6.0357,,,,,-1,-1,?,?,,2.9644,1.0,,6.115099906921387,15.362000465393066,19.055999755859375,-3.575000047683716,2.660724767662354E-4,6.035699844360352,1085675.0174517606,2.450756188447135E-10,-9.610699892044067,,,3234,0.65800095,,-1.085001,-8.30368426711427,-13.102118343785648
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4581436,SDSSJ092814.58+084251.7,2MASS J09281459+0842519,,,09281459+0842519,1237661064412987522,-,142.060726,8.714553,0,0.153,0.127,178.2,H,1,,,34.52,64.8,9.0,36.7,14.97,0,0,2.2569,0.9904,1.4553,3.5003,0.9383,5.4285,Z,19.968,18.398,,,0.081,0.5,,,0.224,,,,,,0,0,0,0,13.434804,13.313262,11.200044,10.047089,0.004828,0.015753,0.142665,1.180819,0,0,14.977,14.31,14.046,0.055,0.049,0.081,3,19.958,18.151,17.106,16.297,15.779,0.064,0.008,0.005,0.005,0.008,,,,38.2033,,6.4046,0.993,,,,-3.652,,-3.664,W3,6.4015,,,,,-1,-1,?,?,,2.2569,64.8,,6.404600143432617,14.045999526977539,18.398000717163086,-3.6640000343322754,2.1677039334562202E-4,6.401500225067139,2520578.485893882,8.600025532184449E-11,-10.065500259399414,,,3235,1.0449982,,-1.5699997,-8.369560865531163,-14.059741552478986
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4581442,SDSSJ141718.90+041720.1,2MASS J14171890+0417200,,,14171890+0417200,1237654880199901270,-,214.328745,4.289017,0,0.065,0.049,47.9,H,1,,,41.39,-12.0,16.2,113.5,21.17,0,0,3.1629,1.4348,2.0094,4.9786,1.2766,7.8365,Z,22.548,19.544,,,0.447,0.5,,,0.124,,,,,,0,0,0,0,14.981946,15.339158,,,0.012185,0.06818,,,1,1,15.211,14.434,14.808,,,0.163,3,22.83,19.491,18.16,17.542,17.213,0.512,0.015,0.007,0.006,0.015,,,,,,6.393,,,,,,,,,6.3078,,,,,-1,-1,?,?,,3.1629,-12.0,,6.39300012588501,14.807999610900879,19.54400062561035,,,6.307799816131592,2031420.43137069,,,,,3236,1.3309994,,-3.0039997,-7.956426680577927,-13.135579355267605
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4581443,SDSSJ080420.87+285506.8,2MASS J08042089+2855066,,,08042089+2855066,1237657774462206312,-,121.086959,28.918608,0,0.061,0.053,172.4,H,1,,,30.87,9.0,,43.6,,0,0,2.3536,1.0245,1.5229,3.6373,0.9854,5.6213,Z,19.924,17.961,,,0.049,0.5,,,0.248,,,,,,0,0,0,0,14.399996,14.444439,13.801031,,0.010394,0.036652,1.560887,,0,0,15.221,14.697,14.601,0.05,0.073,0.075,3,19.893,17.716,16.771,16.432,16.284,0.034,0.005,0.004,0.004,0.008,,,,,,6.2191,0.949,,,,,,,,6.1962,,,,,-1,-1,?,?,,2.3536,9.0,,6.219099998474121,14.60099983215332,17.961000442504883,,,6.196199893951416,1571085.766036938,,,,,3237,0.9449997,,-1.9629993,-8.89766283441239,-14.351794874402897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4581539,SDSSJ100323.78+262553.0,2MASS J10032378+2625530,,,10032378+2625530,1237667212663717930,-,150.84914,26.431404,0,0.069,0.052,121.1,H,1,,,41.74,20.0,,99.0,,0,0,3.0196,1.3757,1.9147,4.7622,1.2141,7.5105,Z,21.283,19.7,,,0.167,0.5,,,0.135,,,,,,0,0,0,0,14.553868,14.187518,11.331571,10.748885,0.011683,0.030176,0.157629,3.025301,0,0,15.994,15.507,14.997,0.096,0.129,0.12,3,21.416,19.576,18.263,17.6,17.191,0.137,0.015,0.009,0.008,0.018,,,,38.4035,,6.2771,1.121,,,,-3.474,,-3.486,W3,6.3268,,,,,-1,-1,?,?,,3.0196,20.0,,6.277100086212158,14.996999740600586,19.700000762939453,-3.4860000610351562,3.2658778627412896E-4,6.3267998695373535,2122266.2593690474,1.5388633958267986E-10,-9.81279993057251,,,3238,1.3129997,,-1.5830002,-7.699746320557779,-13.044860165347824
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4581625,2MASXJ11323087+5731125,2MASX J11323087+5731125,,,11323087+5731125,1237661353778282639,-,173.128508,57.520235,0,0.111,0.068,166.5,H,1,,,53.5,-24.0,39.0,214.5,40.77,0,0,3.9838,1.8419,2.509,6.3254,1.5802,10.0433,Z,21.617,19.195,,,0.349,0.5,,,0.066,,,,,,0,0,0,0,14.057977,13.91037,13.499388,,0.007886,0.025003,1.011362,,0,0,15.446,14.498,14.073,0.154,0.158,0.169,2,21.164,18.739,17.532,16.968,16.6,0.188,0.012,0.007,0.006,0.013,,,,,,6.8874,1.069,,,,,,,,6.9162,,,,,-1,-1,?,?,,3.9838,-24.0,,6.887400150299072,14.072999954223633,19.19499969482422,,,6.916200160980225,8245180.376685774,,,,,3239,1.2070007,,-2.422001,-8.806487941538698,-13.68715767086913
