Name,FUVmag,TType,Tdw1,Tdw2,Bmag,logKLum,logM26,logMHI,log_SFR_Ha,log_SFR_FUV
KJ78,19.30,10.0,Ir,L,18.5,6.95,,,-3.42,-2.83
DDO062,16.70,8.0,,,14.8,8.71,9.45,9.15,-1.61,-1.42
AGC198508,18.30,10.0,Ir,N,17.8,7.18,6.99,6.92,-2.52,-2.45
ESO565-003,17.50,10.0,Ir,N,15.5,8.2,7.56,7.63,-2.12,-1.95
MCG+09-16-010,17.50,8.0,,,16.2,8.0,,,-2.34,-2.05
UGC04998,18.40,9.0,BCD,N,15.0,8.71,9.01,7.04,-2.74,-2.55
LVJ0926+3343,18.10,8.0,,,17.8,7.29,8.05,7.80,-2.74,-2.39
NGC2915,15.60,9.0,BCD,H,13.2,8.74,9.27,8.64,-1.31,-1.16
UGC05047,,7.0,,,16.0,8.71,9.35,8.12,-2.22,
KDG056,19.60,10.0,Ir,L,17.0,7.44,6.57,7.19,-4.40,-2.99
NGC2903-HI-1,20.80,10.0,Ir,N,19.3,6.47,5.97,6.39,-2.97,-3.58
NGC2903,12.60,4.0,,,9.5,10.84,11.14,9.47,0.31,0.19
ESO373-007,19.50,10.0,Ir,L,16.4,7.76,8.16,7.69,,-2.73
CGCG035-007,17.50,9.0,BCD,N,15.2,8.48,8.99,8.17,-1.98,-1.82
dw0936+2135,21.40,-1.0,Sph,L,18.3,7.58,,,,-3.80
LVJ0939-2507,,10.0,Ir,N,15.5,7.99,8.1,7.25,-2.20,
KISSB023,17.00,10.0,Ir,N,16.3,8.35,8.78,8.28,,-1.37
KUG0937+480,18.30,9.0,Im,N,17.0,7.62,,,-2.69,-2.36
KDG058,20.00,10.0,Ir,L,17.2,8.19,7.73,8.13,-3.62,-2.32
HolmI,15.00,10.0,Ir,N,13.6,8.05,7.97,8.05,-2.21,-1.85
UGC05186,18.40,10.0,Ir,N,16.3,7.71,8.05,7.49,-3.90,-2.58
AGC198691,20.10,10.0,Ir,N,19.8,6.5,7.09,7.26,-2.92,-3.06
IC0559,16.70,9.0,BCD,N,15.0,8.25,8.81,8.00,-2.12,-1.85
UGC05209,18.20,10.0,Ir,N,16.1,7.88,8.48,7.53,-2.96,-2.44
NGC2976,13.80,7.0,,,11.0,9.44,9.16,8.05,-1.06,-1.33
AGC191803,18.60,9.0,Im,N,16.5,8.04,8.32,7.97,,-2.21
KK78,18.60,10.0,Ir,N,17.7,7.29,6.08,7.73,-2.76,-2.51
DDO064,15.10,10.0,Ir,N,14.5,8.41,9.02,8.61,-1.30,-1.12
UGC05288,16.00,9.0,BCD,N,14.6,8.85,9.1,8.74,-1.32,-1.34
NGC3037,15.90,8.0,,,13.6,8.9,9.49,8.52,-1.06,-1.22
BK3N,19.40,10.0,Ir,N,18.8,6.12,5.83,7.29,-5.23,-3.49
LVJ0954+3620,19.80,10.0,Ir,N,17.9,7.13,7.43,6.86,,-3.08
KKSG15,18.00,10.0,Ir,N,15.1,8.24,8.33,7.77,-2.77,-2.31
MESSIER081,11.50,3.0,,,7.8,10.95,11.28,9.46,0.00,0.04
JKB83,21.00,10.0,Ir,N,19.7,5.63,,,-3.49,-4.24
MESSIER082,12.60,8.0,,,9.1,10.59,9.87,8.97,0.21,-0.40
LVJ0956-0929,19.10,9.0,BCD,N,15.9,7.95,8.39,6.87,-2.81,-2.70
DDO068,15.20,10.0,Ir,N,14.8,8.4,8.94,8.95,-1.51,-1.04
KDG61em,19.80,10.0,Ir,N,18.8,5.98,,,-3.18,-3.79
A0952+69,18.00,10.0,Ir,L,16.8,6.87,8.06,7.02,-3.21,-2.96
HolmIX,15.60,10.0,Ir,N,14.5,7.75,8.56,8.45,-2.84,-2.03
PGC28789,17.40,8.0,,,16.0,8.05,,,,-2.09
AGC718245,18.90,10.0,Ir,N,16.8,7.6,6.64,7.09,,-2.67
[CKT2009]d0958+66,18.80,9.0,BCD,N,16.0,7.12,5.96,5.87,-4.27,-3.38
AGC198712,19.30,10.0,Ir,N,18.4,6.97,7.23,7.15,,-2.85
LeoA,14.70,10.0,Ir,N,12.9,6.86,6.07,6.97,-4.10,-3.29
[CKT2009]d0959+68,19.90,10.0,Ir,L,18.0,6.44,,,-4.04,-3.65
SexB,13.90,10.0,Ir,N,11.9,7.83,7.97,7.71,-2.88,-2.37
dw1000-0741,23.00,10.0,Ir,L,17.9,7.08,,,,-4.37
LVJ1000+5022,,9.0,Im,N,17.1,7.58,,,-2.55,
